
>>> Condition Data >>>

    1095251 of 4400220000 molecules passed the conditions (0.02 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 632:     0.0050 percent of the time (1 hits)
  - 651:     0.0950 percent of the time (19 hits)
  - 659:     0.0150 percent of the time (3 hits)
  - 662:     0.0050 percent of the time (1 hits)
  - 664:     0.0050 percent of the time (1 hits)
  - 667:    84.3958 percent of the time (16880 hits)
  - 669:     0.0050 percent of the time (1 hits)
  - 673:     0.6350 percent of the time (127 hits)
  - 689:    38.9931 percent of the time (7799 hits)
  - 705:    57.3121 percent of the time (11463 hits)
  - 706:    99.9950 percent of the time (20000 hits)
  - 720:    23.3838 percent of the time (4677 hits)
  - 722:    99.9650 percent of the time (19994 hits)
  - 726:     0.0050 percent of the time (1 hits)
  - 730:     0.0050 percent of the time (1 hits)
  - 731:     2.7399 percent of the time (548 hits)
  - 735:     0.5200 percent of the time (104 hits)
  - 736:     0.0150 percent of the time (3 hits)
  - 740:    39.2830 percent of the time (7857 hits)
  - 741:    99.9950 percent of the time (20000 hits)
  - 743:     0.0050 percent of the time (1 hits)
  - 749:     0.1600 percent of the time (32 hits)
  - 751:     0.4150 percent of the time (83 hits)
  - 756:     1.6849 percent of the time (337 hits)
  - 775:     0.0100 percent of the time (2 hits)
  - 782:    20.0790 percent of the time (4016 hits)
  - 788:     0.0900 percent of the time (18 hits)
  - 791:     0.2900 percent of the time (58 hits)
  - 792:     0.9250 percent of the time (185 hits)
  - 793:     3.5698 percent of the time (714 hits)
  - 804:    36.7582 percent of the time (7352 hits)
  - 814:     0.5200 percent of the time (104 hits)
  - 826:     0.0050 percent of the time (1 hits)
  - 830:    68.8366 percent of the time (13768 hits)
  - 835:     0.0050 percent of the time (1 hits)
  - 845:     0.0100 percent of the time (2 hits)
  - 851:     0.0100 percent of the time (2 hits)
  - 863:     1.5099 percent of the time (302 hits)
  - 868:    59.9920 percent of the time (11999 hits)
  - 871:     0.0050 percent of the time (1 hits)
  - 872:     0.0400 percent of the time (8 hits)
  - 883:     2.5399 percent of the time (508 hits)
  - 895:     0.0050 percent of the time (1 hits)
  - 901:     0.0050 percent of the time (1 hits)
  - 903:     0.3250 percent of the time (65 hits)
  - 904:     1.5749 percent of the time (315 hits)
  - 922:     0.0050 percent of the time (1 hits)
  - 938:     8.2796 percent of the time (1656 hits)
  - 959:     0.0050 percent of the time (1 hits)
  - 976:    94.1353 percent of the time (18828 hits)
  - 994:     0.0050 percent of the time (1 hits)
  - 999:     0.0100 percent of the time (2 hits)
  - 1000:     0.0150 percent of the time (3 hits)
  - 1001:     0.0100 percent of the time (2 hits)
  - 1003:     0.0100 percent of the time (2 hits)
  - 1013:     0.0250 percent of the time (5 hits)
  - 1030:    25.7937 percent of the time (5159 hits)
  - 1051:    32.1084 percent of the time (6422 hits)
  - 1052:     0.0050 percent of the time (1 hits)
  - 1053:     3.3198 percent of the time (664 hits)
  - 1064:     0.0300 percent of the time (6 hits)
  - 1066:     0.0150 percent of the time (3 hits)
  - 1067:     0.9800 percent of the time (196 hits)
  - 1068:     7.7896 percent of the time (1558 hits)
  - 1073:     1.0299 percent of the time (206 hits)
  - 1083:     0.0050 percent of the time (1 hits)
  - 1086:     1.2349 percent of the time (247 hits)
  - 1087:     0.0100 percent of the time (2 hits)
  - 1089:     0.0050 percent of the time (1 hits)
  - 1096:     0.2450 percent of the time (49 hits)
  - 1097:     0.0050 percent of the time (1 hits)
  - 1100:     0.0500 percent of the time (10 hits)
  - 1119:     0.0350 percent of the time (7 hits)
  - 1125:    20.2890 percent of the time (4058 hits)
  - 1126:     0.8200 percent of the time (164 hits)
  - 1127:     0.0100 percent of the time (2 hits)
  - 1134:     0.0100 percent of the time (2 hits)
  - 1138:     1.1399 percent of the time (228 hits)
  - 1146:     0.0100 percent of the time (2 hits)
  - 1149:     0.0100 percent of the time (2 hits)
  - 1153:     0.4350 percent of the time (87 hits)
  - 1157:     0.0250 percent of the time (5 hits)
  - 1167:     0.2650 percent of the time (53 hits)
  - 1171:    57.0171 percent of the time (11404 hits)
  - 1172:     0.0150 percent of the time (3 hits)
  - 1175:     0.0050 percent of the time (1 hits)
  - 1189:     0.1650 percent of the time (33 hits)
  - 1197:    60.4570 percent of the time (12092 hits)
  - 1205:     1.8799 percent of the time (376 hits)
  - 1221:    99.8950 percent of the time (19980 hits)
  - 1231:    45.2777 percent of the time (9056 hits)
  - 1255:     0.0050 percent of the time (1 hits)
  - 1265:    29.5135 percent of the time (5903 hits)
  - 1267:    51.0074 percent of the time (10202 hits)
  - 1282:     1.1049 percent of the time (221 hits)
  - 1285:    46.4027 percent of the time (9281 hits)
  - 1288:     0.0050 percent of the time (1 hits)
  - 1289:     0.7050 percent of the time (141 hits)
  - 1290:     0.0050 percent of the time (1 hits)
  - 1292:     0.0050 percent of the time (1 hits)
  - 1299:     0.0300 percent of the time (6 hits)
  - 1302:     0.0100 percent of the time (2 hits)
  - 1306:     0.0200 percent of the time (4 hits)
  - 1307:     0.0600 percent of the time (12 hits)
  - 1315:     0.0650 percent of the time (13 hits)
  - 1319:    56.4422 percent of the time (11289 hits)
  - 1323:    36.2582 percent of the time (7252 hits)
  - 1333:     0.3150 percent of the time (63 hits)
  - 1335:    66.9417 percent of the time (13389 hits)
  - 1344:    13.1243 percent of the time (2625 hits)
  - 1349:     2.4399 percent of the time (488 hits)
  - 1354:     2.3999 percent of the time (480 hits)
  - 1360:     0.0050 percent of the time (1 hits)
  - 1364:     0.0150 percent of the time (3 hits)
  - 1369:     0.0050 percent of the time (1 hits)
  - 1370:     0.0050 percent of the time (1 hits)
  - 1371:     0.0550 percent of the time (11 hits)
  - 1373:    33.7483 percent of the time (6750 hits)
  - 1374:    99.9950 percent of the time (20000 hits)
  - 1392:     0.2850 percent of the time (57 hits)
  - 1438:    48.1026 percent of the time (9621 hits)
  - 1440:     0.0050 percent of the time (1 hits)
  - 1461:     0.0450 percent of the time (9 hits)
  - 1468:     0.0050 percent of the time (1 hits)
  - 1476:    14.5143 percent of the time (2903 hits)
  - 1491:     1.3749 percent of the time (275 hits)
  - 1503:     0.0100 percent of the time (2 hits)
  - 1511:     0.8500 percent of the time (170 hits)
  - 1513:     0.0050 percent of the time (1 hits)
  - 1516:     0.5450 percent of the time (109 hits)
  - 1518:    99.5750 percent of the time (19916 hits)
  - 1528:     0.0450 percent of the time (9 hits)
  - 1531:     0.0100 percent of the time (2 hits)
  - 1533:     0.0050 percent of the time (1 hits)
  - 1535:     0.0550 percent of the time (11 hits)
  - 1538:     0.0050 percent of the time (1 hits)
  - 1544:     0.3550 percent of the time (71 hits)
  - 1551:    28.2186 percent of the time (5644 hits)
  - 1552:     6.0747 percent of the time (1215 hits)
  - 1553:     3.4398 percent of the time (688 hits)
  - 1554:     0.0050 percent of the time (1 hits)
  - 1558:    48.3776 percent of the time (9676 hits)
  - 1563:     0.0300 percent of the time (6 hits)
  - 1565:     0.0050 percent of the time (1 hits)
  - 1571:     0.0150 percent of the time (3 hits)
  - 1574:     6.7797 percent of the time (1356 hits)
  - 1583:    11.8544 percent of the time (2371 hits)
  - 1588:     0.0050 percent of the time (1 hits)
  - 1597:     0.1200 percent of the time (24 hits)
  - 1599:     0.0050 percent of the time (1 hits)
  - 1603:     0.0300 percent of the time (6 hits)
  - 1605:    31.9234 percent of the time (6385 hits)
  - 1615:    90.8455 percent of the time (18170 hits)
  - 1628:    99.9300 percent of the time (19987 hits)
