
>>> Condition Data >>>

    1065802 of 3003660000 molecules passed the conditions (0.04 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 1173:     0.0073 percent of the time (1 hits)
  - 1189:    87.8708 percent of the time (11997 hits)
  - 1197:    38.2920 percent of the time (5228 hits)
  - 1208:     0.0293 percent of the time (4 hits)
  - 1221:    81.6084 percent of the time (11142 hits)
  - 1223:     8.7087 percent of the time (1189 hits)
  - 1224:     0.0073 percent of the time (1 hits)
  - 1238:     0.0659 percent of the time (9 hits)
  - 1247:    33.7508 percent of the time (4608 hits)
  - 1248:    34.8202 percent of the time (4754 hits)
  - 1252:     0.0073 percent of the time (1 hits)
  - 1261:     8.8552 percent of the time (1209 hits)
  - 1263:     0.0146 percent of the time (2 hits)
  - 1268:     0.0952 percent of the time (13 hits)
  - 1283:   100.0000 percent of the time (13653 hits)
  - 1284:     1.0620 percent of the time (145 hits)
  - 1289:     0.2930 percent of the time (40 hits)
  - 1293:     3.1055 percent of the time (424 hits)
  - 1314:     0.0659 percent of the time (9 hits)
  - 1316:     0.0220 percent of the time (3 hits)
  - 1317:    18.4648 percent of the time (2521 hits)
  - 1318:    97.0336 percent of the time (13248 hits)
  - 1319:     0.0220 percent of the time (3 hits)
  - 1329:     0.0366 percent of the time (5 hits)
  - 1335:     0.0732 percent of the time (10 hits)
  - 1336:     0.0732 percent of the time (10 hits)
  - 1337:     1.0694 percent of the time (146 hits)
  - 1344:    24.4342 percent of the time (3336 hits)
  - 1355:    97.5829 percent of the time (13323 hits)
  - 1368:    11.5433 percent of the time (1576 hits)
  - 1371:     0.6299 percent of the time (86 hits)
  - 1374:     0.7910 percent of the time (108 hits)
  - 1382:     3.1055 percent of the time (424 hits)
  - 1388:    85.0656 percent of the time (11614 hits)
  - 1392:    97.3632 percent of the time (13293 hits)
  - 1415:     0.0073 percent of the time (1 hits)
  - 1417:     0.0732 percent of the time (10 hits)
  - 1419:    53.3070 percent of the time (7278 hits)
  - 1421:     0.0220 percent of the time (3 hits)
  - 1422:     0.0220 percent of the time (3 hits)
  - 1438:    83.3370 percent of the time (11378 hits)
  - 1444:     0.3882 percent of the time (53 hits)
  - 1476:    40.0059 percent of the time (5462 hits)
  - 1488:     5.6032 percent of the time (765 hits)
  - 1489:    62.6382 percent of the time (8552 hits)
  - 1494:     0.3882 percent of the time (53 hits)
  - 1496:    51.0877 percent of the time (6975 hits)
  - 1498:     3.2008 percent of the time (437 hits)
  - 1513:    43.4117 percent of the time (5927 hits)
  - 1518:    87.4606 percent of the time (11941 hits)
  - 1539:     0.2417 percent of the time (33 hits)
  - 1541:    66.0368 percent of the time (9016 hits)
  - 1542:    36.1093 percent of the time (4930 hits)
  - 1546:     0.0732 percent of the time (10 hits)
  - 1551:     0.0293 percent of the time (4 hits)
  - 1558:    99.9927 percent of the time (13652 hits)
  - 1563:     0.0073 percent of the time (1 hits)
  - 1566:     0.0513 percent of the time (7 hits)
  - 1567:    72.0867 percent of the time (9842 hits)
  - 1574:     0.0366 percent of the time (5 hits)
  - 1582:     0.0146 percent of the time (2 hits)
  - 1591:    44.8473 percent of the time (6123 hits)
  - 1593:     1.3404 percent of the time (183 hits)
  - 1605:     9.1628 percent of the time (1251 hits)
  - 1610:    29.1145 percent of the time (3975 hits)
  - 1611:     0.0879 percent of the time (12 hits)
  - 1615:     2.6734 percent of the time (365 hits)
  - 1620:     4.5777 percent of the time (625 hits)
  - 1628:    66.1979 percent of the time (9038 hits)
  - 1629:    29.6125 percent of the time (4043 hits)
  - 1637:    33.0111 percent of the time (4507 hits)
  - 1638:     1.5747 percent of the time (215 hits)
  - 1654:     0.1904 percent of the time (26 hits)
  - 1655:     2.2193 percent of the time (303 hits)
  - 1679:     0.5127 percent of the time (70 hits)
  - 1687:    11.4480 percent of the time (1563 hits)
  - 1712:     0.0073 percent of the time (1 hits)
  - 1714:     0.0806 percent of the time (11 hits)
  - 1725:    82.1138 percent of the time (11211 hits)
  - 1727:     0.2710 percent of the time (37 hits)
  - 1732:    50.8606 percent of the time (6944 hits)
  - 1736:    37.6401 percent of the time (5139 hits)
  - 1737:     0.0220 percent of the time (3 hits)
  - 1738:     1.9996 percent of the time (273 hits)
  - 1739:    14.8026 percent of the time (2021 hits)
  - 1747:     0.0952 percent of the time (13 hits)
  - 1752:     0.0806 percent of the time (11 hits)
  - 1760:    40.3208 percent of the time (5505 hits)
  - 1766:     0.0732 percent of the time (10 hits)
  - 1769:    66.0807 percent of the time (9022 hits)
  - 1770:   100.0000 percent of the time (13653 hits)
  - 1772:    83.4688 percent of the time (11396 hits)
  - 1773:     0.1099 percent of the time (15 hits)
  - 1774:     0.3955 percent of the time (54 hits)
  - 1777:     0.0073 percent of the time (1 hits)
  - 1782:     1.2012 percent of the time (164 hits)
  - 1791:     1.5601 percent of the time (213 hits)
  - 1796:     0.1978 percent of the time (27 hits)
  - 1800:     0.0293 percent of the time (4 hits)
  - 1801:     0.4395 percent of the time (60 hits)
  - 1807:    16.9120 percent of the time (2309 hits)
  - 1815:   100.0000 percent of the time (13653 hits)
  - 1816:     2.2339 percent of the time (305 hits)
  - 1817:     0.9375 percent of the time (128 hits)
  - 1818:    28.1916 percent of the time (3849 hits)
  - 1822:    39.6689 percent of the time (5416 hits)
  - 1826:     0.0073 percent of the time (1 hits)
  - 1830:     0.0220 percent of the time (3 hits)
  - 1836:     0.0073 percent of the time (1 hits)
  - 1846:    99.4507 percent of the time (13578 hits)
  - 1851:     6.4381 percent of the time (879 hits)
  - 1853:     0.0073 percent of the time (1 hits)
  - 1863:     0.1465 percent of the time (20 hits)
  - 1864:     0.0073 percent of the time (1 hits)
  - 1878:    68.9372 percent of the time (9412 hits)
  - 1883:    98.4106 percent of the time (13436 hits)
  - 1890:   100.0000 percent of the time (13653 hits)
  - 1912:     0.3589 percent of the time (49 hits)
  - 1925:    97.2241 percent of the time (13274 hits)
  - 1930:     0.0073 percent of the time (1 hits)
  - 1932:     1.1646 percent of the time (159 hits)
  - 1933:     0.0073 percent of the time (1 hits)
  - 1946:     0.0073 percent of the time (1 hits)
  - 1947:     0.0146 percent of the time (2 hits)
  - 1948:     0.1025 percent of the time (14 hits)
  - 1949:    23.2550 percent of the time (3175 hits)
  - 1957:     0.4102 percent of the time (56 hits)
  - 1958:    18.1059 percent of the time (2472 hits)
  - 1962:    30.1912 percent of the time (4122 hits)
  - 1963:    98.6670 percent of the time (13471 hits)
  - 1964:    10.6643 percent of the time (1456 hits)
  - 1988:    70.2703 percent of the time (9594 hits)
  - 1989:     0.0220 percent of the time (3 hits)
  - 2005:     3.3399 percent of the time (456 hits)
  - 2008:     0.0659 percent of the time (9 hits)
  - 2010:    52.3401 percent of the time (7146 hits)
  - 2011:    98.9453 percent of the time (13509 hits)
  - 2014:    95.0780 percent of the time (12981 hits)
  - 2015:     0.0439 percent of the time (6 hits)
  - 2020:    56.5956 percent of the time (7727 hits)
  - 2022:     1.9922 percent of the time (272 hits)
  - 2023:   100.0000 percent of the time (13653 hits)
  - 2024:    98.7256 percent of the time (13479 hits)
  - 2032:    17.6079 percent of the time (2404 hits)
  - 2033:     0.0146 percent of the time (2 hits)
  - 2037:     2.8492 percent of the time (389 hits)
  - 2038:    88.2517 percent of the time (12049 hits)
  - 2047:     0.0073 percent of the time (1 hits)
  - 2052:     0.0220 percent of the time (3 hits)
  - 2053:     5.6471 percent of the time (771 hits)
  - 2056:     0.0073 percent of the time (1 hits)
  - 2057:     0.0073 percent of the time (1 hits)
  - 2063:     0.0439 percent of the time (6 hits)
  - 2064:     2.0289 percent of the time (277 hits)
  - 2074:     0.5054 percent of the time (69 hits)
  - 2078:     1.3697 percent of the time (187 hits)
  - 2087:    38.9658 percent of the time (5320 hits)
  - 2088:     0.0732 percent of the time (10 hits)
  - 2090:     0.0073 percent of the time (1 hits)
  - 2112:    94.8143 percent of the time (12945 hits)
  - 2120:     1.9556 percent of the time (267 hits)
  - 2123:     0.0146 percent of the time (2 hits)
  - 2125:    45.8288 percent of the time (6257 hits)
  - 2126:     9.7707 percent of the time (1334 hits)
  - 2130:     0.0073 percent of the time (1 hits)
  - 2140:     0.0146 percent of the time (2 hits)
  - 2141:    38.6728 percent of the time (5280 hits)
  - 2145:     2.6368 percent of the time (360 hits)
  - 2152:    79.4844 percent of the time (10852 hits)
  - 2156:     5.6325 percent of the time (769 hits)
  - 2158:    86.8967 percent of the time (11864 hits)
  - 2160:     0.6445 percent of the time (88 hits)
  - 2161:     0.0439 percent of the time (6 hits)
  - 2167:     2.2046 percent of the time (301 hits)
  - 2170:     5.4420 percent of the time (743 hits)
  - 2172:     0.0146 percent of the time (2 hits)
  - 2176:     7.1340 percent of the time (974 hits)
  - 2177:    55.9730 percent of the time (7642 hits)
  - 2192:     0.0073 percent of the time (1 hits)

Neighbor count histogram:

  - 0 Neighbors:  22.2821 percent of the time (304218 hits).
  - 1 Neighbors:  77.3722 percent of the time (1056362 hits).
  - 2 Neighbors:   0.3457 percent of the time (4720 hits).

Listing for all sets of conditions:

*** Data for 1. set of conditions ***

    1065802 of 3003660000 molecules passed this set of conditions (0.0355 percent).

*** Condition 1 ***

    3003660000 molecules total, 1065802 passed (0.0355 percent).
    21025620000 subconditions total, 1065802 passed (0.0051 percent).

    Frequency table for Neighborhood between C2H3O2 and H   

          | Dist.  |    1       2       3       4       5       6       7   
    Angle | (all)  |   0.000    0.000    0.000    0.000    0.000    0.002    0.003 
    ------|--------|--------------------------------------------------------
        1 |100.000 |  0.000   0.000   0.000   0.000   0.000   0.002   0.003 


<<< End of Condition Data <<<

