
>>> Condition Data >>>

    9397345 of 4400220000 molecules passed the conditions (0.21 percent).

List of reference molecules (C2H3O2) that passed the conditions:

  - 193:    11.9494 percent of the time (2390 hits)
  - 194:    75.8562 percent of the time (15172 hits)
  - 195:     2.5599 percent of the time (512 hits)
  - 196:     0.1350 percent of the time (27 hits)
  - 197:     2.3249 percent of the time (465 hits)
  - 198:     6.2697 percent of the time (1254 hits)
  - 199:     1.9149 percent of the time (383 hits)
  - 200:     5.1797 percent of the time (1036 hits)
  - 201:     9.6395 percent of the time (1928 hits)
  - 202:    11.8594 percent of the time (2372 hits)
  - 203:     0.0150 percent of the time (3 hits)
  - 204:     0.3100 percent of the time (62 hits)
  - 205:     1.2099 percent of the time (242 hits)
  - 206:     2.3349 percent of the time (467 hits)
  - 207:    29.1085 percent of the time (5822 hits)
  - 208:     0.4500 percent of the time (90 hits)
  - 209:     2.8699 percent of the time (574 hits)
  - 210:    16.2792 percent of the time (3256 hits)
  - 211:    69.1565 percent of the time (13832 hits)
  - 212:    93.1153 percent of the time (18624 hits)
  - 213:    14.0443 percent of the time (2809 hits)
  - 214:     7.3896 percent of the time (1478 hits)
  - 215:    26.9037 percent of the time (5381 hits)
  - 216:    82.6009 percent of the time (16521 hits)
  - 217:     0.2750 percent of the time (55 hits)
  - 218:     0.1000 percent of the time (20 hits)
  - 220:     0.0900 percent of the time (18 hits)
  - 221:    23.0438 percent of the time (4609 hits)
  - 222:     0.1000 percent of the time (20 hits)
  - 223:    12.6894 percent of the time (2538 hits)
  - 224:    11.1694 percent of the time (2234 hits)
  - 225:     0.0100 percent of the time (2 hits)
  - 226:     6.6697 percent of the time (1334 hits)
  - 227:     0.9150 percent of the time (183 hits)
  - 229:     9.8895 percent of the time (1978 hits)
  - 230:     7.3996 percent of the time (1480 hits)
  - 231:     0.2000 percent of the time (40 hits)
  - 232:    21.3689 percent of the time (4274 hits)
  - 233:     9.2645 percent of the time (1853 hits)
  - 234:     3.5348 percent of the time (707 hits)
  - 235:    10.2245 percent of the time (2045 hits)
  - 236:    10.0845 percent of the time (2017 hits)
  - 237:     0.0100 percent of the time (2 hits)
  - 238:     4.0598 percent of the time (812 hits)
  - 239:     1.6249 percent of the time (325 hits)
  - 241:     7.7646 percent of the time (1553 hits)
  - 242:     0.0200 percent of the time (4 hits)
  - 243:    33.3383 percent of the time (6668 hits)
  - 244:     2.6849 percent of the time (537 hits)
  - 247:    35.2532 percent of the time (7051 hits)
  - 248:     0.6350 percent of the time (127 hits)
  - 249:    16.7592 percent of the time (3352 hits)
  - 250:     0.7350 percent of the time (147 hits)
  - 251:     0.1450 percent of the time (29 hits)
  - 252:     0.1450 percent of the time (29 hits)
  - 253:     0.0350 percent of the time (7 hits)
  - 256:     0.0450 percent of the time (9 hits)
  - 257:     0.0350 percent of the time (7 hits)
  - 258:     0.0700 percent of the time (14 hits)
  - 261:    31.5484 percent of the time (6310 hits)
  - 262:     3.8548 percent of the time (771 hits)
  - 267:    22.9139 percent of the time (4583 hits)
  - 268:     0.9150 percent of the time (183 hits)
  - 269:    17.6141 percent of the time (3523 hits)
  - 270:    67.6616 percent of the time (13533 hits)
  - 271:     2.8349 percent of the time (567 hits)
  - 272:     2.7899 percent of the time (558 hits)
  - 273:     0.1200 percent of the time (24 hits)
  - 274:     0.4250 percent of the time (85 hits)
  - 275:     0.0050 percent of the time (1 hits)
  - 276:     0.7650 percent of the time (153 hits)
  - 277:     0.1250 percent of the time (25 hits)
  - 279:     8.8846 percent of the time (1777 hits)
  - 280:     0.5550 percent of the time (111 hits)
  - 281:     2.2449 percent of the time (449 hits)
  - 282:     2.0799 percent of the time (416 hits)
  - 283:     0.9550 percent of the time (191 hits)
  - 284:     4.2298 percent of the time (846 hits)
  - 285:     1.0699 percent of the time (214 hits)
  - 286:     2.0349 percent of the time (407 hits)
  - 287:    23.0488 percent of the time (4610 hits)
  - 288:    46.0327 percent of the time (9207 hits)
  - 289:     7.9146 percent of the time (1583 hits)
  - 290:    28.4986 percent of the time (5700 hits)
  - 294:     0.1300 percent of the time (26 hits)
  - 295:     1.2249 percent of the time (245 hits)
  - 296:     5.1147 percent of the time (1023 hits)
  - 297:    29.8585 percent of the time (5972 hits)
  - 298:     6.4747 percent of the time (1295 hits)
  - 301:    35.1032 percent of the time (7021 hits)
  - 302:    20.1140 percent of the time (4023 hits)
  - 303:     0.0100 percent of the time (2 hits)
  - 304:    23.2538 percent of the time (4651 hits)
  - 305:    43.1128 percent of the time (8623 hits)
  - 306:    50.9475 percent of the time (10190 hits)
  - 307:     1.8499 percent of the time (370 hits)
  - 308:     9.7745 percent of the time (1955 hits)
  - 309:    37.7831 percent of the time (7557 hits)
  - 310:    12.2444 percent of the time (2449 hits)
  - 311:     3.5398 percent of the time (708 hits)
  - 312:     1.1199 percent of the time (224 hits)
  - 313:     0.0100 percent of the time (2 hits)
  - 315:     0.0200 percent of the time (4 hits)
  - 316:     0.6100 percent of the time (122 hits)
  - 317:     0.9950 percent of the time (199 hits)
  - 318:    19.0090 percent of the time (3802 hits)
  - 319:     8.8696 percent of the time (1774 hits)
  - 320:    67.6566 percent of the time (13532 hits)
  - 321:    17.1491 percent of the time (3430 hits)
  - 322:    92.4204 percent of the time (18485 hits)
  - 323:     4.9698 percent of the time (994 hits)
  - 324:     6.8947 percent of the time (1379 hits)
  - 325:     8.3596 percent of the time (1672 hits)
  - 326:     1.4299 percent of the time (286 hits)
  - 327:     0.0700 percent of the time (14 hits)
  - 328:    15.1642 percent of the time (3033 hits)
  - 329:    13.2343 percent of the time (2647 hits)
  - 330:    95.6402 percent of the time (19129 hits)
  - 331:   100.0000 percent of the time (20001 hits)
  - 332:   100.0000 percent of the time (20001 hits)
  - 333:    32.4084 percent of the time (6482 hits)
  - 334:    48.8026 percent of the time (9761 hits)
  - 335:    35.0782 percent of the time (7016 hits)
  - 336:    18.1091 percent of the time (3622 hits)
  - 337:     1.4549 percent of the time (291 hits)
  - 338:    22.5439 percent of the time (4509 hits)
  - 339:     0.7050 percent of the time (141 hits)
  - 340:     0.7150 percent of the time (143 hits)
  - 341:    24.3338 percent of the time (4867 hits)
  - 342:     4.2498 percent of the time (850 hits)
  - 343:     5.1347 percent of the time (1027 hits)
  - 344:     7.3596 percent of the time (1472 hits)
  - 345:     5.3247 percent of the time (1065 hits)
  - 346:     1.2549 percent of the time (251 hits)
  - 347:     0.6900 percent of the time (138 hits)
  - 348:     1.6649 percent of the time (333 hits)
  - 349:     2.8399 percent of the time (568 hits)
  - 350:     6.2697 percent of the time (1254 hits)
  - 351:    11.7994 percent of the time (2360 hits)
  - 352:     9.3995 percent of the time (1880 hits)
  - 353:     9.0495 percent of the time (1810 hits)
  - 354:     3.0148 percent of the time (603 hits)
  - 355:     1.0349 percent of the time (207 hits)
  - 356:    13.0443 percent of the time (2609 hits)
  - 357:    11.2194 percent of the time (2244 hits)
  - 358:    68.2466 percent of the time (13650 hits)
  - 359:    18.0541 percent of the time (3611 hits)
  - 360:    39.9580 percent of the time (7992 hits)
  - 361:    99.7650 percent of the time (19954 hits)
  - 362:     1.0749 percent of the time (215 hits)
  - 363:     2.7899 percent of the time (558 hits)
  - 364:    17.0041 percent of the time (3401 hits)
  - 365:     1.9199 percent of the time (384 hits)
  - 366:     0.2100 percent of the time (42 hits)
  - 367:     0.0200 percent of the time (4 hits)
  - 368:    42.6679 percent of the time (8534 hits)
  - 369:    51.9874 percent of the time (10398 hits)
  - 370:     5.2597 percent of the time (1052 hits)
  - 371:     1.1099 percent of the time (222 hits)
  - 372:     5.4297 percent of the time (1086 hits)
  - 373:    30.4135 percent of the time (6083 hits)
  - 374:    23.5688 percent of the time (4714 hits)
  - 375:     7.7896 percent of the time (1558 hits)
  - 376:    13.6893 percent of the time (2738 hits)
  - 377:     2.7599 percent of the time (552 hits)
  - 378:    21.3239 percent of the time (4265 hits)
  - 379:    23.0788 percent of the time (4616 hits)
  - 380:     1.1449 percent of the time (229 hits)
  - 381:     0.2650 percent of the time (53 hits)
  - 382:    45.4477 percent of the time (9090 hits)
  - 383:     8.6746 percent of the time (1735 hits)
  - 384:     1.0149 percent of the time (203 hits)
  - 385:    11.9244 percent of the time (2385 hits)
  - 386:     9.4895 percent of the time (1898 hits)
  - 387:     5.9597 percent of the time (1192 hits)
  - 388:    26.2037 percent of the time (5241 hits)
  - 389:    84.8208 percent of the time (16965 hits)
  - 390:    71.0264 percent of the time (14206 hits)
  - 391:    77.4261 percent of the time (15486 hits)
  - 392:     8.4446 percent of the time (1689 hits)
  - 393:    39.2480 percent of the time (7850 hits)
  - 394:     2.7349 percent of the time (547 hits)
  - 395:    74.2963 percent of the time (14860 hits)
